record_type,timestamp,model_id,engine,revision,model_bytes,quantization,mlx_version,mlx_vlm_version,chip,memory_bytes,artifact,profile,case_id,category,task_kind,tier,status,error,recommended,score,passed,total,agent_finished,agent_steps,requested_context_tokens,actual_context_tokens,max_new_tokens,temperature,top_p,kv_bits,kv_quant_scheme,max_kv_size,prefill_step_size,needle_pass,prompt_tokens,generation_tokens,cached_tokens,prompt_tps,generation_tps,peak_memory_gb,elapsed_seconds,wall_seconds,finish_reason,output_sha256
task,2026-07-22T01:47:30.375692+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014730Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,agentic-medium,,agentic,medium,ok,,,1.0,8,8,True,7,,,,0.7,0.95,,,,,,5815,695,0,,41.01075843168861,37.492280508,16.94677266594954,17.176188291981816,,
task,2026-07-22T01:47:30.375692+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014730Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,agentic-large,,agentic,large,ok,,,1.0,10,10,True,9,,,,0.7,0.95,,,,,,8910,648,0,,35.227261079084066,37.734335128,18.39484479208477,18.640319042024203,,
task,2026-07-22T01:48:36.145626+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014836Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,generation-small,,generation,small,ok,,,1.0,1,1,,,,,,0.2,0.95,,,,,,86,18,0,341.1202627350674,61.96084575861623,36.378523236,0.771136499941349,0.7765265409834683,stop,
task,2026-07-22T01:48:36.145626+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014836Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,generation-medium,,generation,medium,ok,,,1.0,8,8,,,,,,0.2,0.95,,,,,,69,201,0,345.7785065917179,58.70151017051941,36.378523236,3.626919792033732,3.7399782080901787,stop,
task,2026-07-22T01:48:36.145626+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014836Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,generation-large,,generation,large,ok,,,0.8,8,10,,,,,,0.2,0.95,,,,,,120,1214,0,355.85610062857506,57.18893232354666,36.431696128,21.5690861659823,21.70712266699411,stop,
task,2026-07-22T01:48:36.145626+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014836Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,agentic-small,,agentic,small,ok,,,1.0,1,1,True,5,,,,0.2,0.95,,,,,,2709,248,0,,34.52538649420935,36.98202717,7.183120166999288,7.186951499897987,,
task,2026-07-22T01:48:36.145626+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014836Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,agentic-medium,,agentic,medium,ok,,,1.0,8,8,True,7,,,,0.2,0.95,,,,,,5701,562,0,,37.882196270551304,37.443079356,14.835465081967413,15.071097041945904,,
task,2026-07-22T01:48:36.145626+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/20260722T014836Z-mlx-community--Laguna-S-2.1-oQ2e/run.json,,agentic-large,,agentic,large,ok,,,1.0,10,10,True,10,,,,0.2,0.95,,,,,,11216,907,0,,35.0016732627866,37.794645576,25.91304687608499,26.145342833013274,,
performance,2026-07-22T01:00:00+00:00,poolside/Laguna-S-2.1-GGUF,llama.cpp-laguna-04b2b72,19bafe9bde46a3c7f9c0b2ef10ecb8a0ef154a1e,75173101568,,,,Apple M5 Max,137438953472,results/sweeps/20260722T010000Z-poolside--Laguna-S-2.1-GGUF-engines.json,engine,llama-bench-pp512,engine,,,ok,,,,,,,,512,512,0,0.0,,,,,,,512,0,,1059.05,0.0,,,,,
performance,2026-07-22T01:00:00+00:00,poolside/Laguna-S-2.1-GGUF,llama.cpp-laguna-04b2b72,19bafe9bde46a3c7f9c0b2ef10ecb8a0ef154a1e,75173101568,,,,Apple M5 Max,137438953472,results/sweeps/20260722T010000Z-poolside--Laguna-S-2.1-GGUF-engines.json,engine,llama-bench-tg256,engine,,,ok,,,,,,,,0,0,256,0.0,,,,,,,0,256,,0.0,39.68,,,,,
performance,2026-07-22T01:00:00+00:00,poolside/Laguna-S-2.1-GGUF,llama.cpp-laguna-04b2b72,19bafe9bde46a3c7f9c0b2ef10ecb8a0ef154a1e,75173101568,,,,Apple M5 Max,137438953472,results/sweeps/20260722T010000Z-poolside--Laguna-S-2.1-GGUF-engines.json,engine,dflash-coding-probe,engine,,,ok,,,,,,,,,,,0.0,,,,,,,,,,,23.0,,,,,
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,context-256,context,,,ok,,,,,,,,256,248,32,0.0,1.0,,uniform,,2048,True,248,14,0,581.2832647929189,62.93237916751602,36.545893728,0.8732607499696314,,stop,df8fcdd01f1eba091e53c243a8a71a531947d58ffda5a0505347283f340fa7ca
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,context-1024,context,,,ok,,,,,,,,1024,1016,32,0.0,1.0,,uniform,,2048,True,1016,14,0,1411.4201042514721,60.85578457954951,37.227900928,0.9538266250165179,,stop,537525dbe2ce3ce82396344ab1c6116726df57770093305184f24001a6618ee5
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,context-4096,context,,,ok,,,,,,,,4096,4088,32,0.0,1.0,,uniform,,2048,True,4088,14,0,1791.7871133480892,58.57384193033944,37.788445716,2.5261246250011027,,stop,b5472f7159a008ea457534057a500621202069e005f61a5b7a1d516fd0a29a28
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,context-16384,context,,,ok,,,,,,,,16384,16376,32,0.0,1.0,,uniform,,2048,True,16376,14,0,1613.0716128873098,52.47611509594808,38.462893104,10.432445000042208,,stop,e75cdfad6fa2329e3fcfb898f9c85be44dbf1162996e2e28888db85067c6ce71
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,context-65536,context,,,ok,,,,,,,,65536,65528,32,0.0,1.0,,uniform,,2048,True,65528,14,0,1088.7481665232353,32.02604782616363,41.194458232,60.90813008300029,,stop,32b934e5b48fb6af218684973cbd40b3e2221531eea0813292f11bd6ae7c35ca
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,context-131072,context,,,ok,,,,,,,,131072,131064,32,0.0,1.0,,uniform,,2048,True,131064,14,0,771.7993219148029,23.47928971916604,45.087296632,171.00334000005387,,stop,c8eda901c3c63df7d0a7b51f0f306a54ac185678192a917a804909394b982b05
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,decode-64,decode,,,ok,,,,,,,,1024,1009,64,0.0,1.0,,uniform,,2048,,1009,64,0,1093.8242967530614,57.24843239772331,37.222723472,2.044354207930155,,length,ec2ef30978421d7cc1dca1886b007fd33940d700523c64697ee1eb4f3d9ab9f1
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,decode-256,decode,,,ok,,,,,,,,1024,1009,256,0.0,1.0,,uniform,,2048,,1009,256,0,1068.0821666884556,55.06401639618653,37.222723472,5.597699292004108,,length,87a3f6c4b4a12783f1f87d330c7589d4330bbe08cffce7e8a8e998189ae501d4
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,decode-1024,decode,,,ok,,,,,,,,1024,1009,1024,0.0,1.0,,uniform,,2048,,1009,1024,0,1008.954849220342,54.029976361297734,37.222739856,19.956989416037686,,length,44a5e1eb7cd204188f967cc71010e294e8d85542e49dac747df4e9be259acad7
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,sampling-t02-p095,sampling,,,ok,,,,,,,,1024,1009,256,0.2,0.95,,uniform,,2048,,1009,256,0,812.7501898151964,55.78524497003132,37.222739896,5.8351541250012815,,length,13592e4a2bf1212eb1f6b00021981942856be7967e0dd36c291734d4e89f4f48
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,sampling-t07-p095,sampling,,,ok,,,,,,,,1024,1009,256,0.7,0.95,,uniform,,2048,,1009,256,0,984.190964916432,55.437850375376804,37.222723512,5.646912916912697,,length,b5c29412400384f8360d9ebc044e43534e5cd4cc36ae717d54a492939eba8f1e
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,kv-uniform-8,kv-cache,,,error,NotImplementedError: RotatingKVCache Quantization NYI,,,,,,,16384,16376,32,0.0,1.0,8,uniform,,2048,False,,,,,,,,,,
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,kv-uniform-4,kv-cache,,,error,NotImplementedError: RotatingKVCache Quantization NYI,,,,,,,16384,16376,32,0.0,1.0,4,uniform,,2048,False,,,,,,,,,,
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,kv-turboquant-3.5,kv-cache,,,ok,,,,,,,,16384,16376,32,0.0,1.0,3.5,turboquant,,2048,True,16376,14,0,1261.8276637991414,44.99496615001912,37.871261084,13.301177749992348,,stop,e75cdfad6fa2329e3fcfb898f9c85be44dbf1162996e2e28888db85067c6ce71
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,kv-window-4096,kv-cache,,,ok,,,,,,,,16384,16376,32,0.0,1.0,,uniform,4096,2048,True,16376,14,0,1335.352285313982,51.03460505787189,38.463025296,12.551296790945344,,stop,e75cdfad6fa2329e3fcfb898f9c85be44dbf1162996e2e28888db85067c6ce71
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,prefill-step-512,prefill,,,ok,,,,,,,,16384,16376,32,0.0,1.0,,uniform,,512,True,16376,14,0,996.2960835682749,52.12592319772145,37.804852902,16.719910709070973,,stop,e75cdfad6fa2329e3fcfb898f9c85be44dbf1162996e2e28888db85067c6ce71
performance,2026-07-22T01:22:13.162882+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T012213Z-mlx-community--Laguna-S-2.1-oQ2e-full.json,full,prefill-step-8192,prefill,,,ok,,,,,,,,16384,16376,32,0.0,1.0,,uniform,,8192,True,16376,14,0,1103.1438735643105,51.36170425599579,40.960225758,15.133662584004924,,stop,e75cdfad6fa2329e3fcfb898f9c85be44dbf1162996e2e28888db85067c6ce71
performance,2026-07-22T01:33:44.235428+00:00,mlx-community/Laguna-S-2.1-oQ3e,mlx-vlm,b0a05345ef4ee549a2c1e7b27dbbf8aec8c1b0b3,49240503962,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T013344Z-mlx-community--Laguna-S-2.1-oQ3e-quant.json,quant,context-16384,context,,,ok,,,,,,,,16384,16376,32,0.0,1.0,,uniform,,2048,True,16376,14,0,1275.1079583026903,55.10268950206526,51.474246704,13.108940291916952,,stop,e75cdfad6fa2329e3fcfb898f9c85be44dbf1162996e2e28888db85067c6ce71
performance,2026-07-22T01:33:44.235428+00:00,mlx-community/Laguna-S-2.1-oQ3e,mlx-vlm,b0a05345ef4ee549a2c1e7b27dbbf8aec8c1b0b3,49240503962,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T013344Z-mlx-community--Laguna-S-2.1-oQ3e-quant.json,quant,decode-256,decode,,,ok,,,,,,,,1024,1009,256,0.0,1.0,,uniform,,2048,,1009,256,0,1170.6497570070803,60.82737887946566,50.234077072,5.074275624938309,,length,1c33f239702c1b4cf3483051c7d5304625e71366fd56effa792f6fbf6e3752ba
performance,2026-07-22T01:42:49.858384+00:00,poolside/Laguna-S-2.1-NVFP4-mlx,mlx-vlm,9664772ddf25ea938bbc380b26f7e7110f9f6521,71905947108,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T014249Z-poolside--Laguna-S-2.1-NVFP4-mlx-quant.json,quant,context-16384,context,,,ok,,,,,,,,16384,16376,32,0.0,1.0,,uniform,,2048,True,16376,14,0,1646.4047531426038,33.87217651071256,74.21445688,15.496344082988799,,stop,e75cdfad6fa2329e3fcfb898f9c85be44dbf1162996e2e28888db85067c6ce71
performance,2026-07-22T01:42:49.858384+00:00,poolside/Laguna-S-2.1-NVFP4-mlx,mlx-vlm,9664772ddf25ea938bbc380b26f7e7110f9f6521,71905947108,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T014249Z-poolside--Laguna-S-2.1-NVFP4-mlx-quant.json,quant,decode-256,decode,,,ok,,,,,,,,1024,1009,256,0.0,1.0,,uniform,,2048,,1009,256,0,1285.3149109214824,26.162372402089467,72.91843314,10.574023874942213,,length,a6368619a7e3ff45caaf1a17c9595f826b2080664e761ba99963c093fd46aa77
performance,2026-07-22T01:51:45.535302+00:00,mlx-community/Laguna-S-2.1-oQ2e,mlx-vlm,830f68f075788af8ccfb400c8e24c5ad81a393ac,36229111861,,0.32.0,0.6.6,Apple M5 Max,137438953472,results/sweeps/20260722T015145Z-mlx-community--Laguna-S-2.1-oQ2e-context.json,context,context-262144,context,,,ok,,,,,,,,262144,262136,32,0.0,1.0,,uniform,,2048,True,262136,14,0,566.3057708023438,12.159087330604718,52.872973432,464.3971378750866,,stop,4097b877d56fcbe1f5e2532acdd56391c3b32962ca971ae48e89b74307c2942c
failure,2026-07-22T01:39:42.830631+00:00,Vontra/Laguna-S-2.1-MLX-4bit,mlx-vlm,,,,,,Apple M5 Max,137438953472,results/failures/20260722T013942Z-Vontra--Laguna-S-2.1-MLX-4bit-run.json,run,,,,,error,"ValueError: Expected shape (256, 384) but received shape (256, 768) for parameter language_model.model.layers.1.mlp.gate.proj.weight",,,,,,,,,,,,,,,,,,,,,,,,,,
failure,2026-07-22T01:41:59.256141+00:00,pipenetwork/Laguna-S-2.1-MLX-4bit,mlx-vlm,,,,,,Apple M5 Max,137438953472,results/failures/20260722T014159Z-pipenetwork--Laguna-S-2.1-MLX-4bit-run.json,run,,,,,error,"ValueError: Received 141 parameters not in model: language_model.model.layers.1.mlp.e_score_correction_bias, language_model.model.layers.1.mlp.gate.biases, language_model.model.layers.1.mlp.gate.scales, language_model.model.layers.10.mlp.e_score_correction_bias, language_model.model.layers.10.mlp.gate.biases, language_model.model.layers.10.mlp.gate.scales, language_model.model.layers.11.mlp.e_score_correction_bias, language_model.model.layers.11.mlp.gate.biases, language_model.model.layers.11.mlp.gate.scales, language_model.model.layers.12.mlp.e_score_correction_bias, language_model.model.layers.12.mlp.gate.biases, language_model.model.layers.12.mlp.gate.scales, language_model.model.layers.13.mlp.e_score_correction_bias, language_model.model.layers.13.mlp.gate.biases, language_model.model.layers.13.mlp.gate.scales, language_model.model.layers.14.mlp.e_score_correction_bias, language_model.model.layers.14.mlp.gate.biases, language_model.model.layers.14.mlp.gate.scales, language_model.model.layers.15.mlp.e_score_correction_bias, language_model.model.layers.15.mlp.gate.biases, language_model.model.layers.15.mlp.gate.scales, language_model.model.layers.16.mlp.e_score_correction_bias, language_model.model.layers.16.mlp.gate.biases, language_model.model.layers.16.mlp.gate.scales, language_model.model.layers.17.mlp.e_score_correction_bias, language_model.model.layers.17.mlp.gate.biases, language_model.model.layers.17.mlp.gate.scales, language_model.model.layers.18.mlp.e_score_correction_bias, language_model.model.layers.18.mlp.gate.biases, language_model.model.layers.18.mlp.gate.scales, language_model.model.layers.19.mlp.e_score_correction_bias, language_model.model.layers.19.mlp.gate.biases, language_model.model.layers.19.mlp.gate.scales, language_model.model.layers.2.mlp.e_score_correction_bias, language_model.model.layers.2.mlp.gate.biases, language_model.model.layers.2.mlp.gate.scales, language_model.model.layers.20.mlp.e_score_correction_bias, language_model.model.layers.20.mlp.gate.biases, language_model.model.layers.20.mlp.gate.scales, language_model.model.layers.21.mlp.e_score_correction_bias, language_model.model.layers.21.mlp.gate.biases, language_model.model.layers.21.mlp.gate.scales, language_model.model.layers.22.mlp.e_score_correction_bias, language_model.model.layers.22.mlp.gate.biases, language_model.model.layers.22.mlp.gate.scales, language_model.model.layers.23.mlp.e_score_correction_bias, language_model.model.layers.23.mlp.gate.biases, language_model.model.layers.23.mlp.gate.scales, language_model.model.layers.24.mlp.e_score_correction_bias, language_model.model.layers.24.mlp.gate.biases, language_model.model.layers.24.mlp.gate.scales, language_model.model.layers.25.mlp.e_score_correction_bias, language_model.model.layers.25.mlp.gate.biases, language_model.model.layers.25.mlp.gate.scales, language_model.model.layers.26.mlp.e_score_correction_bias, language_model.model.layers.26.mlp.gate.biases, language_model.model.layers.26.mlp.gate.scales, language_model.model.layers.27.mlp.e_score_correction_bias, language_model.model.layers.27.mlp.gate.biases, language_model.model.layers.27.mlp.gate.scales, language_model.model.layers.28.mlp.e_score_correction_bias, language_model.model.layers.28.mlp.gate.biases, language_model.model.layers.28.mlp.gate.scales, language_model.model.layers.29.mlp.e_score_correction_bias, language_model.model.layers.29.mlp.gate.biases, language_model.model.layers.29.mlp.gate.scales, language_model.model.layers.3.mlp.e_score_correction_bias, language_model.model.layers.3.mlp.gate.biases, language_model.model.layers.3.mlp.gate.scales, language_model.model.layers.30.mlp.e_score_correction_bias, language_model.model.layers.30.mlp.gate.biases, language_model.model.layers.30.mlp.gate.scales, language_model.model.layers.31.mlp.e_score_correction_bias, language_model.model.layers.31.mlp.gate.biases, language_model.model.layers.31.mlp.gate.scales, language_model.model.layers.32.mlp.e_score_correction_bias, language_model.model.layers.32.mlp.gate.biases, language_model.model.layers.32.mlp.gate.scales, language_model.model.layers.33.mlp.e_score_correction_bias, language_model.model.layers.33.mlp.gate.biases, language_model.model.layers.33.mlp.gate.scales, language_model.model.layers.34.mlp.e_score_correction_bias, language_model.model.layers.34.mlp.gate.biases, language_model.model.layers.34.mlp.gate.scales, language_model.model.layers.35.mlp.e_score_correction_bias, language_model.model.layers.35.mlp.gate.biases, language_model.model.layers.35.mlp.gate.scales, language_model.model.layers.36.mlp.e_score_correction_bias, language_model.model.layers.36.mlp.gate.biases, language_model.model.layers.36.mlp.gate.scales, language_model.model.layers.37.mlp.e_score_correction_bias, language_model.model.layers.37.mlp.gate.biases, language_model.model.layers.37.mlp.gate.scales, language_model.model.layers.38.mlp.e_score_correction_bias, language_model.model.layers.38.mlp.gate.biases, language_model.model.layers.38.mlp.gate.scales, language_model.model.layers.39.mlp.e_score_correction_bias, language_model.model.layers.39.mlp.gate.biases, language_model.model.layers.39.mlp.gate.scales, language_model.model.layers.4.mlp.e_score_correction_bias, language_model.model.layers.4.mlp.gate.biases, language_model.model.layers.4.mlp.gate.scales, language_model.model.layers.40.mlp.e_score_correction_bias, language_model.model.layers.40.mlp.gate.biases, language_model.model.layers.40.mlp.gate.scales, language_model.model.layers.41.mlp.e_score_correction_bias, language_model.model.layers.41.mlp.gate.biases, language_model.model.layers.41.mlp.gate.scales, language_model.model.layers.42.mlp.e_score_correction_bias, language_model.model.layers.42.mlp.gate.biases, language_model.model.layers.42.mlp.gate.scales, language_model.model.layers.43.mlp.e_score_correction_bias, language_model.model.layers.43.mlp.gate.biases, language_model.model.layers.43.mlp.gate.scales, language_model.model.layers.44.mlp.e_score_correction_bias, language_model.model.layers.44.mlp.gate.biases, language_model.model.layers.44.mlp.gate.scales, language_model.model.layers.45.mlp.e_score_correction_bias, language_model.model.layers.45.mlp.gate.biases, language_model.model.layers.45.mlp.gate.scales, language_model.model.layers.46.mlp.e_score_correction_bias, language_model.model.layers.46.mlp.gate.biases, language_model.model.layers.46.mlp.gate.scales, language_model.model.layers.47.mlp.e_score_correction_bias, language_model.model.layers.47.mlp.gate.biases, language_model.model.layers.47.mlp.gate.scales, language_model.model.layers.5.mlp.e_score_correction_bias, language_model.model.layers.5.mlp.gate.biases, language_model.model.layers.5.mlp.gate.scales, language_model.model.layers.6.mlp.e_score_correction_bias, language_model.model.layers.6.mlp.gate.biases, language_model.model.layers.6.mlp.gate.scales, language_model.model.layers.7.mlp.e_score_correction_bias, language_model.model.layers.7.mlp.gate.biases, language_model.model.layers.7.mlp.gate.scales, language_model.model.layers.8.mlp.e_score_correction_bias, language_model.model.layers.8.mlp.gate.biases, language_model.model.layers.8.mlp.gate.scales, language_model.model.layers.9.mlp.e_score_correction_bias, language_model.model.layers.9.mlp.gate.biases, language_model.model.layers.9.mlp.gate.scales.",,,,,,,,,,,,,,,,,,,,,,,,,,
